angle,x,y
-123.69006752597979,566.0,236.0
-123.69006752597979,564.0,233.0
-123.69006752597979,562.0,230.0
-123.69006752597979,560.0,227.0
-123.69006752597979,558.0,224.0
-123.69006752597979,556.0,221.0
-123.69006752597979,554.0,218.0
-123.69006752597979,552.0,215.0
-123.69006752597979,550.0,212.0
-123.69006752597979,548.0,209.0
-123.69006752597979,546.0,206.0
-123.69006752597979,544.0,203.0
-123.69006752597979,542.0,200.0
-123.69006752597979,540.0,197.0
-123.69006752597979,538.0,194.0
-123.69006752597979,536.0,191.0
-123.69006752597979,534.0,188.0
-123.69006752597979,532.0,185.0
-123.69006752597979,530.0,182.0
-123.69006752597979,528.0,179.0
-123.69006752597979,526.0,176.0
-123.69006752597979,524.0,173.0
-123.69006752597979,522.0,170.0
-123.69006752597979,520.0,167.0
-123.69006752597979,518.0,164.0
-123.69006752597979,516.0,161.0
-123.69006752597979,514.0,158.0
-123.69006752597979,512.0,155.0
-123.69006752597979,510.0,152.0
-123.69006752597979,508.0,149.0
-123.69006752597979,506.0,146.0
-123.69006752597979,504.0,143.0
-123.69006752597979,502.0,140.0
-123.69006752597979,500.0,137.0
-123.69006752597979,498.0,134.0
-123.69006752597979,496.0,131.0
-123.69006752597979,494.0,128.0
-123.69006752597979,492.0,125.0
-123.69006752597979,490.0,122.0
-123.69006752597979,488.0,119.0
-123.69006752597979,486.0,116.0
-123.69006752597979,484.0,113.0
-123.69006752597979,482.0,110.0
-123.69006752597979,480.0,107.0
-123.69006752597979,478.0,104.0
-123.69006752597979,476.0,101.0
-123.69006752597979,474.0,98.0
-123.69006752597979,472.0,95.0
-123.69006752597979,470.0,92.0
-123.69006752597979,468.0,89.0
-123.69006752597979,466.0,86.0
-123.69006752597979,464.0,83.0
-123.69006752597979,462.0,80.0
-123.69006752597979,460.0,77.0
-123.69006752597979,458.0,74.0
-123.69006752597979,456.0,71.0
123.69006752597979,454.0,74.0
123.69006752597979,452.0,77.0
123.69006752597979,450.0,80.0
123.69006752597979,448.0,83.0
123.69006752597979,446.0,86.0
123.69006752597979,444.0,89.0
123.69006752597979,442.0,92.0
123.69006752597979,440.0,95.0
123.69006752597979,438.0,98.0
123.69006752597979,436.0,101.0
123.69006752597979,434.0,104.0
123.69006752597979,432.0,107.0
123.69006752597979,430.0,110.0
123.69006752597979,428.0,113.0
123.69006752597979,426.0,116.0
123.69006752597979,424.0,119.0
123.69006752597979,422.0,122.0
123.69006752597979,420.0,125.0
123.69006752597979,418.0,128.0
123.69006752597979,416.0,131.0
123.69006752597979,414.0,134.0
123.69006752597979,412.0,137.0
123.69006752597979,410.0,140.0
123.69006752597979,408.0,143.0
123.69006752597979,406.0,146.0
123.69006752597979,404.0,149.0
123.69006752597979,402.0,152.0
123.69006752597979,400.0,155.0
123.69006752597979,398.0,158.0
123.69006752597979,396.0,161.0
123.69006752597979,394.0,164.0
123.69006752597979,392.0,167.0
123.69006752597979,390.0,170.0
123.69006752597979,388.0,173.0
123.69006752597979,386.0,176.0
123.69006752597979,384.0,179.0
123.69006752597979,382.0,182.0
123.69006752597979,380.0,185.0
123.69006752597979,378.0,188.0
123.69006752597979,376.0,191.0
123.69006752597979,374.0,194.0
123.69006752597979,372.0,197.0
123.69006752597979,370.0,200.0
123.69006752597979,368.0,203.0
123.69006752597979,366.0,206.0
123.69006752597979,364.0,209.0
123.69006752597979,362.0,212.0
123.69006752597979,360.0,215.0
123.69006752597979,358.0,218.0
123.69006752597979,356.0,221.0
123.69006752597979,354.0,224.0
123.69006752597979,352.0,227.0
123.69006752597979,350.0,230.0
123.69006752597979,348.0,233.0
123.69006752597979,346.0,236.0
123.69006752597979,344.0,239.0
123.69006752597979,342.0,242.0
123.69006752597979,340.0,245.0
123.69006752597979,338.0,248.0
123.69006752597979,336.0,251.0
123.69006752597979,334.0,254.0
123.69006752597979,332.0,257.0
123.69006752597979,330.0,260.0
123.69006752597979,328.0,263.0
123.69006752597979,326.0,266.0
123.69006752597979,324.0,269.0
123.69006752597979,322.0,272.0
123.69006752597979,320.0,275.0
123.69006752597979,318.0,278.0
123.69006752597979,316.0,281.0
123.69006752597979,314.0,284.0
123.69006752597979,312.0,287.0
123.69006752597979,310.0,290.0
123.69006752597979,308.0,293.0
123.69006752597979,306.0,296.0
123.69006752597979,304.0,299.0
123.69006752597979,302.0,302.0
123.69006752597979,300.0,305.0
123.69006752597979,298.0,308.0
123.69006752597979,296.0,311.0
123.69006752597979,294.0,314.0
123.69006752597979,292.0,317.0
123.69006752597979,290.0,320.0
123.69006752597979,288.0,323.0
123.69006752597979,286.0,326.0
123.69006752597979,284.0,329.0
123.69006752597979,282.0,332.0
123.69006752597979,280.0,335.0
123.69006752597979,278.0,338.0
123.69006752597979,276.0,341.0
123.69006752597979,274.0,344.0
123.69006752597979,272.0,347.0
123.69006752597979,270.0,350.0
123.69006752597979,268.0,353.0
123.69006752597979,266.0,356.0
123.69006752597979,264.0,359.0
123.69006752597979,262.0,362.0
123.69006752597979,260.0,365.0
123.69006752597979,258.0,368.0
123.69006752597979,256.0,371.0
123.69006752597979,254.0,374.0
123.69006752597979,252.0,377.0
123.69006752597979,250.0,380.0
123.69006752597979,248.0,383.0
123.69006752597979,246.0,386.0
123.69006752597979,244.0,389.0
123.69006752597979,242.0,392.0
123.69006752597979,240.0,395.0
123.69006752597979,238.0,398.0
-135.0,238.0,398.0
-135.0,235.0,395.0
-135.0,232.0,392.0
-135.0,229.0,389.0
-135.0,226.0,386.0
-135.0,223.0,383.0
-135.0,220.0,380.0
-135.0,217.0,377.0
-135.0,214.0,374.0
-135.0,211.0,371.0
-135.0,208.0,368.0
